cancel	592.0	144.0	2.0	2.0	0.0	1.0
nicely	592.0	144.0	11.0	1.0	1.0	0.0
prepare	592.0	144.0	1.0	1.0	0.0	1.0
reuse	592.0	144.0	1.0	0.0	1.0	0.0
not|accompany	592.0	144.0	2.0	0.0	1.0	0.0
half	592.0	144.0	12.0	4.0	0.0	0.0
upload	592.0	144.0	20.0	5.0	0.0	0.0
not|motonav	592.0	144.0	0.0	1.0	0.0	1.0
fifty	592.0	144.0	1.0	0.0	1.0	0.0
nowadays	592.0	144.0	2.0	0.0	1.0	0.0
quickest	592.0	144.0	1.0	1.0	0.0	1.0
hall	592.0	144.0	1.0	1.0	0.0	1.0
not|thing	592.0	144.0	6.0	3.0	0.0	0.0
spontaneous	592.0	144.0	1.0	0.0	1.0	0.0
drunk	592.0	144.0	1.0	1.0	0.0	1.0
whhew	592.0	144.0	1.0	0.0	1.0	0.0
pick	592.0	144.0	28.0	1.0	1.0	0.0
ten	592.0	144.0	0.0	1.0	0.0	1.0
not|reasonable	592.0	144.0	0.0	1.0	0.0	1.0
sake	592.0	144.0	0.0	2.0	0.0	1.0
not|water	592.0	144.0	1.0	0.0	1.0	0.0
solid	592.0	144.0	5.0	1.0	0.0	0.0
antonio	592.0	144.0	1.0	0.0	1.0	0.0
investment	592.0	144.0	6.0	0.0	1.0	0.0
require	592.0	144.0	14.0	2.0	1.0	0.0
scratch	592.0	144.0	4.0	6.0	0.0	1.0
avoidance	592.0	144.0	1.0	1.0	0.0	1.0
click	592.0	144.0	9.0	4.0	0.0	0.0
highspeed	592.0	144.0	1.0	0.0	1.0	0.0
verson	592.0	144.0	1.0	0.0	1.0	0.0
size	592.0	144.0	42.0	5.0	1.0	0.0
left	592.0	144.0	16.0	6.0	0.0	0.0
downer	592.0	144.0	2.0	0.0	1.0	0.0
handheld	592.0	144.0	5.0	4.0	0.0	1.0
protective	592.0	144.0	2.0	0.0	1.0	0.0
amusing	592.0	144.0	1.0	0.0	1.0	0.0
avid	592.0	144.0	1.0	2.0	0.0	1.0
object	592.0	144.0	2.0	1.0	0.0	0.0
newspaper	592.0	144.0	0.0	1.0	0.0	1.0
poorly	592.0	144.0	0.0	2.0	0.0	1.0
accessible	592.0	144.0	2.0	0.0	1.0	0.0
hang	592.0	144.0	4.0	1.0	0.0	0.0
not|wristband	592.0	144.0	0.0	1.0	0.0	1.0
sunglass	592.0	144.0	1.0	0.0	1.0	0.0
cliff	592.0	144.0	1.0	0.0	1.0	0.0
holux	592.0	144.0	1.0	0.0	1.0	0.0
roll	592.0	144.0	1.0	0.0	1.0	0.0
notable	592.0	144.0	1.0	1.0	0.0	1.0
turn	592.0	144.0	130.0	44.0	0.0	0.0
spendy	592.0	144.0	1.0	0.0	1.0	0.0
ceo	592.0	144.0	0.0	1.0	0.0	1.0
not|galaxy	592.0	144.0	2.0	0.0	1.0	0.0
result	592.0	144.0	6.0	5.0	0.0	1.0
gold	592.0	144.0	2.0	0.0	1.0	0.0
golf	592.0	144.0	1.0	0.0	1.0	0.0
not|feeling	592.0	144.0	1.0	0.0	1.0	0.0
transitional	592.0	144.0	0.0	1.0	0.0	1.0
not|graphic	592.0	144.0	1.0	0.0	1.0	0.0
quiet	592.0	144.0	1.0	0.0	1.0	0.0
flip	592.0	144.0	1.0	2.0	0.0	1.0
hiker	592.0	144.0	1.0	1.0	0.0	1.0
connect	592.0	144.0	33.0	13.0	0.0	0.0
not|confusion	592.0	144.0	1.0	0.0	1.0	0.0
hand	592.0	144.0	22.0	6.0	0.0	0.0
policy	592.0	144.0	0.0	2.0	0.0	1.0
salt	592.0	144.0	1.0	0.0	1.0	0.0
address	592.0	144.0	56.0	7.0	1.0	0.0
not|correction	592.0	144.0	1.0	0.0	1.0	0.0
not|dead	592.0	144.0	1.0	0.0	1.0	0.0
not|short	592.0	144.0	1.0	1.0	0.0	1.0
neighbor	592.0	144.0	2.0	0.0	1.0	0.0
straight	592.0	144.0	8.0	2.0	0.0	0.0
not|people	592.0	144.0	6.0	0.0	1.0	0.0
sale	592.0	144.0	12.0	1.0	1.0	0.0
police	592.0	144.0	2.0	2.0	0.0	1.0
outdoors	592.0	144.0	7.0	0.0	1.0	0.0
throw	592.0	144.0	6.0	2.0	0.0	0.0
imac	592.0	144.0	1.0	0.0	1.0	0.0
thank	592.0	144.0	7.0	1.0	0.0	0.0
information	592.0	144.0	54.0	11.0	0.0	0.0
not|rugged	592.0	144.0	1.0	0.0	1.0	0.0
not|lockout	592.0	144.0	1.0	0.0	1.0	0.0
not|deal	592.0	144.0	14.0	2.0	1.0	0.0
thruout	592.0	144.0	1.0	0.0	1.0	0.0
not|shore	592.0	144.0	1.0	0.0	1.0	0.0
motorized	592.0	144.0	1.0	0.0	1.0	0.0
reimburse	592.0	144.0	1.0	0.0	1.0	0.0
november	592.0	144.0	3.0	1.0	0.0	0.0
resturant	592.0	144.0	1.0	0.0	1.0	0.0
resolve	592.0	144.0	1.0	0.0	1.0	0.0
not|apply	592.0	144.0	2.0	1.0	0.0	0.0
not|downloadable	592.0	144.0	1.0	0.0	1.0	0.0
good	592.0	144.0	147.0	30.0	0.0	0.0
deploy	592.0	144.0	1.0	0.0	1.0	0.0
not|kind	592.0	144.0	1.0	2.0	0.0	1.0
gong	592.0	144.0	0.0	1.0	0.0	1.0
intersection	592.0	144.0	9.0	1.0	1.0	0.0
not|concern	592.0	144.0	4.0	1.0	0.0	0.0
myriad	592.0	144.0	1.0	0.0	1.0	0.0
serious	592.0	144.0	7.0	6.0	0.0	1.0
cosmetic	592.0	144.0	1.0	0.0	1.0	0.0
export	592.0	144.0	2.0	0.0	1.0	0.0
not|prohibitive	592.0	144.0	1.0	0.0	1.0	0.0
not|panacea	592.0	144.0	0.0	1.0	0.0	1.0
not|crash	592.0	144.0	1.0	0.0	1.0	0.0
erratic	592.0	144.0	2.0	0.0	1.0	0.0
rome	592.0	144.0	4.0	0.0	1.0	0.0
deform	592.0	144.0	0.0	1.0	0.0	1.0
not|state	592.0	144.0	1.0	2.0	0.0	1.0
ihave	592.0	144.0	1.0	0.0	1.0	0.0
informative	592.0	144.0	3.0	0.0	1.0	0.0
check	592.0	144.0	24.0	9.0	0.0	0.0
not|device	592.0	144.0	13.0	9.0	0.0	1.0
sand	592.0	144.0	1.0	0.0	1.0	0.0
not|navigation	592.0	144.0	7.0	1.0	0.0	0.0
not|luck	592.0	144.0	1.0	2.0	0.0	1.0
forethought	592.0	144.0	1.0	0.0	1.0	0.0
buick	592.0	144.0	3.0	0.0	1.0	0.0
not|broadband	592.0	144.0	1.0	0.0	1.0	0.0
lens	592.0	144.0	0.0	2.0	0.0	1.0
representation	592.0	144.0	1.0	0.0	1.0	0.0
not|wilderness	592.0	144.0	1.0	0.0	1.0	0.0
tripod	592.0	144.0	1.0	0.0	1.0	0.0
orientate	592.0	144.0	1.0	0.0	1.0	0.0
not|watch	592.0	144.0	6.0	1.0	0.0	0.0
not|move	592.0	144.0	11.0	0.0	1.0	0.0
motivate	592.0	144.0	1.0	0.0	1.0	0.0
patrick	592.0	144.0	3.0	0.0	1.0	0.0
hard	592.0	144.0	25.0	6.0	0.0	0.0
