cancel	653.0	87.0	0.0	1.0	0.0	1.0
nicely	653.0	87.0	4.0	1.0	0.0	0.0
prepare	653.0	87.0	2.0	0.0	1.0	0.0
half	653.0	87.0	14.0	4.0	0.0	0.0
unavailable	653.0	87.0	0.0	1.0	0.0	1.0
shooting	653.0	87.0	1.0	0.0	0.0	0.0
hall	653.0	87.0	2.0	0.0	1.0	0.0
nowadays	653.0	87.0	2.0	0.0	1.0	0.0
not|typically	653.0	87.0	1.0	0.0	0.0	0.0
not|thing	653.0	87.0	5.0	1.0	0.0	0.0
halo	653.0	87.0	1.0	0.0	0.0	0.0
convection	653.0	87.0	1.0	0.0	0.0	0.0
maglites	653.0	87.0	19.0	9.0	0.0	1.0
not|forget	653.0	87.0	3.0	0.0	1.0	0.0
not|adjustible	653.0	87.0	1.0	0.0	0.0	0.0
pick	653.0	87.0	10.0	1.0	0.0	0.0
ten	653.0	87.0	12.0	1.0	0.0	0.0
sake	653.0	87.0	1.0	0.0	0.0	0.0
not|water	653.0	87.0	5.0	0.0	1.0	0.0
energy	653.0	87.0	2.0	1.0	0.0	1.0
whitecoat	653.0	87.0	1.0	0.0	0.0	0.0
conceal	653.0	87.0	1.0	1.0	0.0	1.0
not|compact	653.0	87.0	3.0	0.0	1.0	0.0
successfully	653.0	87.0	2.0	0.0	1.0	0.0
brinkman	653.0	87.0	2.0	0.0	1.0	0.0
solid	653.0	87.0	32.0	4.0	0.0	0.0
sniff	653.0	87.0	1.0	0.0	0.0	0.0
investment	653.0	87.0	4.0	0.0	1.0	0.0
require	653.0	87.0	6.0	1.0	0.0	0.0
scratch	653.0	87.0	9.0	0.0	1.0	0.0
circular	653.0	87.0	1.0	0.0	0.0	0.0
click	653.0	87.0	5.0	0.0	1.0	0.0
backwards	653.0	87.0	0.0	1.0	0.0	1.0
size	653.0	87.0	112.0	9.0	1.0	0.0
triple	653.0	87.0	5.0	0.0	1.0	0.0
compactly	653.0	87.0	1.0	0.0	0.0	0.0
not|improvement	653.0	87.0	1.0	0.0	0.0	0.0
left	653.0	87.0	1.0	0.0	0.0	0.0
temper	653.0	87.0	1.0	0.0	0.0	0.0
handheld	653.0	87.0	2.0	0.0	1.0	0.0
amusing	653.0	87.0	1.0	0.0	0.0	0.0
illuminator	653.0	87.0	1.0	1.0	0.0	1.0
object	653.0	87.0	5.0	0.0	1.0	0.0
poorly	653.0	87.0	1.0	2.0	0.0	1.0
accessible	653.0	87.0	1.0	0.0	0.0	0.0
hang	653.0	87.0	13.0	0.0	1.0	0.0
not|brightest	653.0	87.0	5.0	0.0	1.0	0.0
role	653.0	87.0	1.0	0.0	0.0	0.0
not|indestructable	653.0	87.0	1.0	0.0	0.0	0.0
roll	653.0	87.0	9.0	0.0	1.0	0.0
turn	653.0	87.0	61.0	35.0	0.0	1.0
cel	653.0	87.0	1.0	0.0	0.0	0.0
unparalleled	653.0	87.0	2.0	0.0	1.0	0.0
not|kiss	653.0	87.0	1.0	0.0	0.0	0.0
not|dealer	653.0	87.0	0.0	1.0	0.0	1.0
result	653.0	87.0	5.0	3.0	0.0	1.0
gold	653.0	87.0	1.0	0.0	0.0	0.0
golf	653.0	87.0	2.0	0.0	1.0	0.0
not|flood	653.0	87.0	1.0	0.0	0.0	0.0
makita	653.0	87.0	4.0	0.0	1.0	0.0
ankward	653.0	87.0	0.0	1.0	0.0	1.0
zombie	653.0	87.0	1.0	0.0	0.0	0.0
flip	653.0	87.0	2.0	0.0	1.0	0.0
connect	653.0	87.0	1.0	0.0	0.0	0.0
hand	653.0	87.0	60.0	12.0	0.0	0.0
resume	653.0	87.0	1.0	0.0	0.0	0.0
address	653.0	87.0	2.0	4.0	0.0	1.0
salt	653.0	87.0	1.0	0.0	0.0	0.0
not|dead	653.0	87.0	2.0	0.0	1.0	0.0
cfh	653.0	87.0	1.0	0.0	0.0	0.0
not|floor	653.0	87.0	2.0	0.0	1.0	0.0
tabletop	653.0	87.0	1.0	0.0	0.0	0.0
not|short	653.0	87.0	3.0	0.0	1.0	0.0
tha	653.0	87.0	1.0	0.0	0.0	0.0
eating	653.0	87.0	0.0	1.0	0.0	1.0
neighbor	653.0	87.0	7.0	0.0	1.0	0.0
straight	653.0	87.0	3.0	0.0	1.0	0.0
not|people	653.0	87.0	2.0	1.0	0.0	1.0
sale	653.0	87.0	1.0	0.0	0.0	0.0
police	653.0	87.0	33.0	1.0	1.0	0.0
outdoors	653.0	87.0	3.0	0.0	1.0	0.0
throw	653.0	87.0	25.0	4.0	0.0	0.0
thank	653.0	87.0	5.0	1.0	0.0	0.0
tho	653.0	87.0	4.0	0.0	1.0	0.0
information	653.0	87.0	1.0	0.0	0.0	0.0
not|deal	653.0	87.0	6.0	1.0	0.0	0.0
november	653.0	87.0	0.0	1.0	0.0	1.0
resolve	653.0	87.0	1.0	0.0	0.0	0.0
not|benefit	653.0	87.0	1.0	0.0	0.0	0.0
good	653.0	87.0	153.0	10.0	1.0	0.0
empty	653.0	87.0	2.0	0.0	1.0	0.0
polystinger	653.0	87.0	1.0	0.0	0.0	0.0
deploy	653.0	87.0	1.0	1.0	0.0	1.0
